epoch:0    train_loss:141.6309051513672    test_loss:141.5899658203125
epoch:1    train_loss:154.92404174804688    test_loss:154.7760772705078
epoch:2    train_loss:114.29753112792969    test_loss:114.73622131347656
epoch:3    train_loss:107.85871124267578    test_loss:107.461669921875
epoch:4    train_loss:92.08085632324219    test_loss:92.43563842773438
epoch:5    train_loss:87.74451446533203    test_loss:88.28973388671875
epoch:6    train_loss:90.34764099121094    test_loss:90.5924301147461
epoch:7    train_loss:81.02406311035156    test_loss:81.8368911743164
epoch:8    train_loss:80.69583129882812    test_loss:81.51385498046875
epoch:9    train_loss:74.4599838256836    test_loss:75.09489440917969
epoch:10    train_loss:74.50593566894531    test_loss:75.49958038330078
epoch:11    train_loss:72.08220672607422    test_loss:73.9286117553711
epoch:12    train_loss:68.27952575683594    test_loss:70.20735168457031
epoch:13    train_loss:71.76092529296875    test_loss:73.2368392944336
epoch:14    train_loss:66.96393585205078    test_loss:69.11437225341797
epoch:15    train_loss:68.8417739868164    test_loss:70.61017608642578
epoch:16    train_loss:63.3395881652832    test_loss:65.4310073852539
epoch:17    train_loss:61.79124069213867    test_loss:64.68461608886719
epoch:18    train_loss:57.42429733276367    test_loss:60.13494110107422
epoch:19    train_loss:66.55953979492188    test_loss:69.6390380859375
epoch:20    train_loss:54.2955436706543    test_loss:56.84342575073242
epoch:21    train_loss:52.81703567504883    test_loss:55.31003952026367
epoch:22    train_loss:58.92510986328125    test_loss:61.72783279418945
epoch:23    train_loss:48.83348083496094    test_loss:51.740116119384766
epoch:24    train_loss:45.12938690185547    test_loss:48.16493225097656
epoch:25    train_loss:46.89675521850586    test_loss:50.509552001953125
epoch:26    train_loss:49.91168975830078    test_loss:52.78723907470703
epoch:27    train_loss:46.045166015625    test_loss:49.298946380615234
epoch:28    train_loss:48.890689849853516    test_loss:52.00686264038086
epoch:29    train_loss:43.98091125488281    test_loss:47.74531555175781
epoch:30    train_loss:45.577152252197266    test_loss:48.73678207397461
epoch:31    train_loss:43.69446563720703    test_loss:46.56687927246094
epoch:32    train_loss:47.84989929199219    test_loss:51.842594146728516
epoch:33    train_loss:41.79310607910156    test_loss:45.52283477783203
epoch:34    train_loss:45.65959930419922    test_loss:49.58620071411133
epoch:35    train_loss:43.15958786010742    test_loss:46.8194465637207
epoch:36    train_loss:42.70768737792969    test_loss:47.10045623779297
epoch:37    train_loss:40.93628692626953    test_loss:44.66994857788086
epoch:38    train_loss:43.30187225341797    test_loss:47.398136138916016
epoch:39    train_loss:41.03453826904297    test_loss:45.317893981933594
epoch:40    train_loss:38.90842056274414    test_loss:42.880680084228516
epoch:41    train_loss:42.41585922241211    test_loss:45.73915481567383
epoch:42    train_loss:44.316200256347656    test_loss:48.44548034667969
epoch:43    train_loss:39.19381332397461    test_loss:43.88554763793945
epoch:44    train_loss:39.82573318481445    test_loss:45.139625549316406
epoch:45    train_loss:42.94838333129883    test_loss:47.76736831665039
epoch:46    train_loss:43.45219039916992    test_loss:47.67258834838867
epoch:47    train_loss:40.51561737060547    test_loss:45.25322341918945
epoch:48    train_loss:38.755794525146484    test_loss:43.419498443603516
epoch:49    train_loss:33.68279266357422    test_loss:39.0548210144043
epoch:50    train_loss:33.423126220703125    test_loss:39.14432907104492
epoch:51    train_loss:32.45758056640625    test_loss:38.742313385009766
